"game_id","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date.x","season","game_date.y","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","last_300_median_DKP","last_300_median_FDP","last_600_median_DKP","last_600_median_FDP"
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","WatsDe00","QB","Deshaun Watson ","HOU",20,32,253,1,1,4,11,31,84.5,6,27,1,13,0,0,0,0,0,0,4,2,42,40,2,"HOU","KAN",0,0,0,0,0,0,21.82,21.82,20.82,20.82,283,5,13,8,17,10,0,0,0,0,59,100,19.42,17.92,20.52,19.74
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","AkinJo00","TE","Jordan Akins","HOU",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,39,1,20,0,0,0,0,0,0,"HOU","KAN",0,0,0,0,0,0,11.9,11.9,10.9,10.9,0,0,0,0,0,0,0,24,15,0,48,81,10.4,7.9,10.4,7.9
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","JohnDa08","RB","David Johnson","HOU",0,0,0,0,0,0,0,0,0,11,77,1,19,4,3,32,0,15,0,0,11,11,0,11,"HOU","KAN",0,0,0,0,0,0,19.9,19.9,18.4,18.4,0,0,0,0,34,43,0,-3.2,33,0,48,81,NA,NA,21.9,17.9
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","FullWi01","WR","Will Fuller","HOU",0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,112,0,31,0,0,0,0,0,0,"HOU","KAN",0,0,0,0,0,1,22.2,22.2,15.2,15.2,0,0,0,0,0,0,0,129,29,1,47,80,17.55,13.05,9.75,7.75
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","CobbRa00","WR","Randall Cobb","HOU",0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,23,0,17,0,0,0,0,0,0,"HOU","KAN",0,0,0,0,0,0,4.3,4.3,3.3,3.3,0,0,0,0,0,0,0,11.1,21,0,46,78,8.3,6.8,8.3,6.8
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","CookBr00","WR","Brandin Cooks","HOU",0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,20,0,11,0,0,0,0,0,0,"HOU","KAN",0,0,0,0,0,0,4,4,3,3,0,0,0,0,0,0,0,46,17,0,31,53,NA,NA,13.1,10.1
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","FellDa01","TE","Darren Fells","HOU",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19,0,12,0,0,0,0,0,0,"HOU","KAN",0,0,0,0,0,0,3.9,3.9,2.9,2.9,0,0,0,0,0,0,0,6,13,0,25,42,2.3,1.8,7.1,6.6
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","StilKe00","WR","Kenny Stills","HOU",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"HOU","KAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,22,37,6.7,4.7,7.95,5.95
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","JohnDu00","RB","Duke Johnson","HOU",0,0,0,0,0,0,0,0,0,5,14,0,7,1,0,0,0,0,0,0,5,5,0,5,"HOU","KAN",0,0,0,0,0,0,1.4,1.4,1.4,1.4,0,0,0,0,5,9,0,1,0,0,14,24,NA,NA,NA,NA
"202009100kan","HOU","KAN",20,34,"False","outdoors","astroturf",56,95,7,-9.5,"KAN","53.5",2020-09-10,2020,"2020-09-10","CartDe02","WR","DeAndre Carter ","HOU",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,8,0,0,0,0,0,0,"HOU","KAN",0,0,0,0,0,0,1.8,1.8,1.3,1.3,0,0,0,0,0,0,0,16,4,1,13,22,12.5,9.5,12.5,9.5
