Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,gsis_id,position.x,depth_chart_position.x,status,headshot_url,headshot_url2,team_logo_wikipedia,team_logo_wikipedia2,logo_def,wiki_logo_def,rusher_player_name,noruns,nopass,noplays,yards_gained,touchdown_rush,yards_rushing,epa_rusher,position.y,depth_chart_position.y,n,receiver_player_name,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa_receiver
"Abdullah, Ameer",Am.Abdullah,MIN,ATL,6,1.3,4500,1.8,4000,1.3,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,00-0032104,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png$raw,A.Abdullah,2,0,2,7,0,7,1.11922998100636,RB,RB,1,A.Abdullah,1,0,0,0,0,1,1,0,4,-3,-3,-0.596648927545175
"Abdullah, Ameer",Am.Abdullah,MIN,JAC,13,3.4,4500,3.9,4000,3.4,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,00-0032104,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png$raw,A.Abdullah,2,0,2,11,0,11,-0.189739599300083,RB,RB,1,A.Abdullah,18,0,0,0,0,1,18,0,14,4,4,0.691745662741596
"Abdullah, Ameer",Am.Abdullah,MIN,NOR,16,1.3,4500,1.3,4000,1.3,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,00-0032104,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png$raw,A.Abdullah,1,0,1,13,0,13,1.36200710386038,RB,RB,1,A.Abdullah,0,0,0,0,1,0,0,0,0,0,0,-1.18792147870408
"Abdullah, Ameer",Am.Abdullah,MIN,TAM,14,3.1,4500,4.1,4000,3.1,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,00-0032104,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png$raw,A.Abdullah,3,0,3,11,0,11,-0.392226379073691,RB,RB,1,A.Abdullah,10,0,0,1,0,2,10,0,10,0,0,0.465369615762029
"Ahmed, Salvon",Sa.Ahmed,MIA,LAC,10,15.5,4900,16,4000,15.5,12,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' height='12'></img>,00-0036020,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png$raw,S.Ahmed,21,0,21,85,1,85,-2.54570602328777,RB,RB,1,S.Ahmed,5,0,0,0,0,1,5,0,7,-2,-2,0.0412521199905314
"Ahmed, Salvon",Sa.Ahmed,MIA,NWE,15,21.2,5100,24.7,4700,21.2,14,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' height='12'></img>,00-0036020,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,,,S.Ahmed,23,0,23,122,1,122,4.07959350250894,RB,RB,1,S.Ahmed,5,0,0,0,2,1,5,0,0,7,5,-1.11404932843288
"Ahmed, Salvon",Sa.Ahmed,MIA,ARI,9,3.8,4500,3.8,4000,3.8,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' height='12'></img>,00-0036020,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png$raw,S.Ahmed,7,0,7,38,0,38,0.903064118116163,RB,RB,1,,,,,,,,,,,,,
"Ahmed, Salvon",Sa.Ahmed,MIA,BUF,17,12.3,5300,13.8,4400,12.3,18,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' height='12'></img>,00-0036020,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png$raw,S.Ahmed,6,0,6,29,1,29,0.96175943268463,RB,RB,1,S.Ahmed,19,0,0,0,0,3,19,0,30,-11,-11,0.122852667816915
"Ahmed, Salvon",Sa.Ahmed,MIA,DEN,11,9.9,5600,12.4,4800,9.9,17,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' height='12'></img>,00-0036020,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png$raw,S.Ahmed,12,0,12,43,0,43,-0.420736377825961,RB,RB,1,S.Ahmed,31,0,0,0,1,5,31,0,28,4,3,-1.55676341534127
"Ahmed, Salvon",Sa.Ahmed,MIA,LVR,16,0.8,6700,1.3,5600,0.8,21,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' height='12'></img>,00-0036020,RB,RB,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png$raw,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png$raw,S.Ahmed,6,0,6,2,0,2,-5.71135421086862,RB,RB,1,S.Ahmed,1,0,0,0,0,1,1,0,6,-5,-5,-0.726751308422536
