Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,gsis_id,position.x,depth_chart_position.x,status,headshot_url,headshot_url2,team_logo_wikipedia,logo_def,receiver_player_name,nopass,noplays,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa_receiver,position.y,depth_chart_position.y,n,rusher_player_name,noruns,touchdown_rush,yards_rushing,epa_rusher
"Akins, Jordan",Jo.Akins,HOU,BAL,2,9,4600,12.5,3300,9,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png' height='12'></img>,J.Akins,7,7,55,55,0,0,0,0,7,55,0,36,19,19,1.38535411504563,TE,TE,1,,,,,
"Akins, Jordan",Jo.Akins,HOU,CIN,16,5.9,5100,7.9,3300,5.9,13,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png' height='12'></img>,J.Akins,4,4,39,39,0,0,1,0,4,39,0,20,19,19,2.19651335262461,TE,TE,1,,,,,
"Akins, Jordan",Jo.Akins,HOU,IND,13,2,5200,3,2900,2,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,J.Akins,3,3,10,10,0,0,0,1,2,10,0,6,22,4,-1.61419545544777,TE,TE,1,,,,,
"Akins, Jordan",Jo.Akins,HOU,MIN,4,6.1,4900,7.6,3300,6.1,13,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,J.Akins,3,3,46,46,0,0,0,0,3,46,0,20,26,26,3.71514688807656,TE,TE,1,,,,,
"Akins, Jordan",Jo.Akins,HOU,NWE,11,10.8,4900,13.3,2500,10.8,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png' height='12'></img>,J.Akins,6,6,83,83,0,0,1,1,5,83,0,33,66,50,6.14074363248097,TE,TE,1,,,,,
"Akins, Jordan",Jo.Akins,HOU,TEN,17,1.4,5000,1.9,3300,1.4,11,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png' height='12'></img>,J.Akins,2,2,9,9,0,0,1,1,1,9,0,1,14,8,-0.324958830843822,TE,TE,1,,,,,
"Akins, Jordan",Jo.Akins,HOU,CHI,14,3.5,5000,5,2900,3.5,12,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png' height='12'></img>,J.Akins,6,6,20,20,0,0,3,3,3,20,0,7,40,13,-0.803165659483057,TE,TE,1,,,,,
"Akins, Jordan",Jo.Akins,HOU,CLE,10,1,4900,1.5,2900,1,11,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png' height='12'></img>,J.Akins,1,1,5,5,0,0,0,0,1,5,0,0,5,5,0.0979052531765774,TE,TE,1,,,,,
"Akins, Jordan",Jo.Akins,HOU,DET,12,0.4,5200,0.4,2900,0.4,13,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png' height='12'></img>,J.Akins,2,2,0,0,0,0,0,2,0,0,0,0,31,0,-1.76079806304194,TE,TE,1,J.Akins,1,0,4,0.75279469229281
"Akins, Jordan",Jo.Akins,HOU,IND,15,7.5,5000,10,2800,7.5,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,00-0034364,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,J.Akins,6,6,50,50,0,0,1,1,5,50,0,10,44,40,2.8155586636276,TE,TE,1,,,,,
