Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,gsis_id,position.x,depth_chart_position.x,status,headshot_url,headshot_url2,team_logo_wikipedia,logo_def,wiki_logo_def,receiver_player_name,nopass,noplays,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa_receiver,position.y,depth_chart_position.y,n,rusher_player_name,noruns,touchdown_rush,yards_rushing,epa_rusher
"Adams, Davante",Da.Adams,GNB,CAR,15,7.7,9500,11.2,9400,7.7,38,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,D.Adams,10,10,42,42,0,0,0,3,7,42,0,28,46,14,-0.785553834808525,WR,LWR,1,,,,,
"Adams, Davante",Da.Adams,GNB,CHI,12,15.1,9500,18.1,8800,15.1,36,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,D.Adams,9,9,61,61,0,0,0,3,6,61,1,34,116,27,4.10100823774701,WR,LWR,1,,,,,
"Adams, Davante",Da.Adams,GNB,DET,2,5.1,8600,6.6,8100,5.1,37,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png,D.Adams,3,3,36,36,0,0,0,0,3,36,0,15,21,21,3.6088701277622,WR,LWR,1,,,,,
"Adams, Davante",Da.Adams,GNB,JAC,10,14.6,9500,19.6,9000,14.6,39,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png,D.Adams,12,12,66,66,0,0,0,4,8,66,1,52,76,14,-5.32990736976274,WR,LWR,1,,,,,
"Adams, Davante",Da.Adams,GNB,MIN,8,26.8,9100,30.3,8800,26.8,38,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,D.Adams,11,11,53,53,0,0,1,4,7,53,3,14,127,39,3.65254972048569,WR,LWR,1,,,,,
"Adams, Davante",Da.Adams,GNB,PHI,13,29.1,9500,37.1,9000,29.1,39,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,D.Adams,12,12,121,121,0,0,2,2,10,121,2,41,102,80,11.0484961025699,WR,LWR,1,,,,,
"Adams, Davante",Da.Adams,GNB,TEN,16,37.7,9200,46.2,9100,37.7,41,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png' width='50'/>,https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png,D.Adams,12,12,142,142,1,0,0,0,11,142,3,51,105,91,10.9595559244626,WR,LWR,1,,,,,
"Adams, Davante",Da.Adams,GNB,CHI,17,13.6,9300,16.6,9200,13.6,37,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,D.Adams,6,6,46,46,0,0,1,0,6,46,1,11,35,35,6.65569131376105,WR,LWR,1,,,,,
"Adams, Davante",Da.Adams,GNB,DET,14,21,9600,27.5,9300,21,39,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png,D.Adams,10,10,115,115,0,0,0,3,7,115,1,88,85,27,5.28375898563536,WR,LWR,1,,,,,
"Adams, Davante",Da.Adams,GNB,HOU,7,38.1,8900,47.6,7900,38.1,35,<img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' width='50'/>,00-0031381,WR,LWR,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,<img src='https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' width='50'/>,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,D.Adams,16,16,196,196,0,0,0,3,13,196,2,102,134,94,17.7675651087775,WR,LWR,1,,,,,
