Name,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,last_name,first_name,season,position,depth_chart_position,jersey_number,status,full_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,fantasy_data_id,sleeper_id,update_dt,headshot_url,headshot_url2,name,Team.y,logo_def,game_id,posteam,passer_player_name,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa
"Allen, Brandon",CIN,BAL,17,0.12,6800,0.12,5000,0.12,21,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png' height='12'></img>,Allen,Brandon,2020,QB,QB,8,Active,Brandon Allen,1992-09-05,6-2,209,Arkansas,Fayetteville (AR),00-0032434,2574511,a8c3bcd7-69d0-4c5e-a876-6b33857942bc,29435,10882,10835,18118,3357,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574511.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574511.png' height='20'></img>,"Allen, Brandon","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png' height='12'></img>,2020_17_BAL_CIN,CIN,B.Allen,21,21,0,48,48,2,0,2,13,6,48,0,33,155,15,-24.3060598373134
"Allen, Brandon",CIN,DAL,14,13.88,6500,13.88,4900,13.88,20,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png' height='12'></img>,Allen,Brandon,2020,QB,QB,8,Active,Brandon Allen,1992-09-05,6-2,209,Arkansas,Fayetteville (AR),00-0032434,2574511,a8c3bcd7-69d0-4c5e-a876-6b33857942bc,29435,10882,10835,18118,3357,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574511.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574511.png' height='20'></img>,"Allen, Brandon","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png' height='12'></img>,2020_14_DAL_CIN,CIN,B.Allen,36,36,1,217,217,0,0,2,9,27,217,1,145,129,72,11.5215199342929
"Allen, Brandon",CIN,HOU,16,23.14,6600,26.14,4800,23.14,20,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png' height='12'></img>,Allen,Brandon,2020,QB,QB,8,Active,Brandon Allen,1992-09-05,6-2,209,Arkansas,Fayetteville (AR),00-0032434,2574511,a8c3bcd7-69d0-4c5e-a876-6b33857942bc,29435,10882,10835,18118,3357,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574511.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574511.png' height='20'></img>,"Allen, Brandon","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,2020_16_CIN_HOU,CIN,B.Allen,37,37,2,371,371,0,0,3,8,29,371,2,187,308,184,22.7453817231961
"Allen, Brandon",CIN,MIA,13,9.42,6000,9.42,4800,9.42,20,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png' height='12'></img>,Allen,Brandon,2020,QB,QB,8,Active,Brandon Allen,1992-09-05,6-2,209,Arkansas,Fayetteville (AR),00-0032434,2574511,a8c3bcd7-69d0-4c5e-a876-6b33857942bc,29435,10882,10835,18118,3357,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574511.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574511.png' height='20'></img>,"Allen, Brandon","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' height='12'></img>,2020_13_CIN_MIA,CIN,B.Allen,19,24,1,123,153,1,5,8,7,11,153,1,114,146,39,-7.00987703808825
"Allen, Josh",BUF,KAN,6,16.08,8600,16.08,7900,16.08,37,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png' height='12'></img>,2020_06_KC_BUF,BUF,J.Allen,27,27,2,122,122,1,0,5,12,14,122,2,46,272,76,-3.11077193410865
"Allen, Josh",BUF,LAC,12,16.48,8600,17.48,7600,16.48,39,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png' height='12'></img>,2020_12_LAC_BUF,BUF,J.Allen,24,26,1,147,157,1,2,7,5,18,157,1,74,86,83,1.06149065491492
"Allen, Josh",BUF,LAR,3,32.24,8100,36.24,6900,32.24,36,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,2020_03_LA_BUF,BUF,J.Allen,33,37,4,274,311,1,4,7,8,24,311,4,140,307,171,8.45506453636335
"Allen, Josh",BUF,MIA,17,20.26,8200,20.26,7600,20.26,39,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' height='12'></img>,2020_17_MIA_BUF,BUF,J.Allen,25,26,3,213,224,1,1,1,6,18,224,3,64,246,160,11.3726670039468
"Allen, Josh",BUF,NWE,8,13.46,8200,13.46,7000,13.46,34,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png' height='12'></img>,2020_08_NE_BUF,BUF,J.Allen,18,19,0,149,154,1,1,4,6,11,154,0,83,179,71,-1.13088133876461
"Allen, Josh",BUF,NYJ,1,28.18,7900,33.18,6500,28.18,31,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png' height='12'></img>,2020_01_NYJ_BUF,BUF,J.Allen,46,49,2,306,312,0,3,4,13,33,312,2,137,279,175,13.8010084652079
