Name,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,last_name,first_name,season,position,depth_chart_position,jersey_number,status,full_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,fantasy_data_id,sleeper_id,update_dt,headshot_url,headshot_url2,name,Team.y,logo_def,game_id,posteam,receiver_player_name,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa
"Adams, Davante",GNB,CAR,15,7.7,9500,11.2,9400,7.7,38,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png' height='12'></img>,2020_15_CAR_GB,GNB,D.Adams,10,10,0,42,42,0,0,0,3,7,42,0,28,46,14,-0.785553834808525
"Adams, Davante",GNB,CHI,12,15.1,9500,18.1,8800,15.1,36,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png' height='12'></img>,2020_12_CHI_GB,GNB,D.Adams,9,9,1,61,61,0,0,0,3,6,61,1,34,116,27,4.10100823774701
"Adams, Davante",GNB,DET,2,5.1,8600,6.6,8100,5.1,37,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png' height='12'></img>,2020_02_DET_GB,GNB,D.Adams,3,3,0,36,36,0,0,0,0,3,36,0,15,21,21,3.6088701277622
"Adams, Davante",GNB,JAC,10,14.6,9500,19.6,9000,14.6,39,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png' height='12'></img>,2020_10_JAX_GB,GNB,D.Adams,12,12,1,66,66,0,0,0,4,8,66,1,52,76,14,-5.32990736976274
"Adams, Davante",GNB,MIN,8,26.8,9100,30.3,8800,26.8,38,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,2020_08_MIN_GB,GNB,D.Adams,11,11,3,53,53,0,0,1,4,7,53,3,14,127,39,3.65254972048569
"Adams, Davante",GNB,PHI,13,29.1,9500,37.1,9000,29.1,39,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png' height='12'></img>,2020_13_PHI_GB,GNB,D.Adams,12,12,2,121,121,0,0,2,2,10,121,2,41,102,80,11.0484961025699
"Adams, Davante",GNB,TEN,16,37.7,9200,46.2,9100,37.7,41,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png' height='12'></img>,2020_16_TEN_GB,GNB,D.Adams,12,12,3,142,142,1,0,0,0,11,142,3,51,105,91,10.9595559244626
"Adams, Davante",GNB,CHI,17,13.6,9300,16.6,9200,13.6,37,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png' height='12'></img>,2020_17_GB_CHI,GNB,D.Adams,6,6,1,46,46,0,0,1,0,6,46,1,11,35,35,6.65569131376105
"Adams, Davante",GNB,DET,14,21,9600,27.5,9300,21,39,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png' height='12'></img>,2020_14_GB_DET,GNB,D.Adams,10,10,1,115,115,0,0,0,3,7,115,1,88,85,27,5.28375898563536
"Adams, Davante",GNB,HOU,7,38.1,8900,47.6,7900,38.1,35,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,2020_07_GB_HOU,GNB,D.Adams,16,16,2,196,196,0,0,0,3,13,196,2,102,134,94,17.7675651087775
