Name,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,last_name,first_name,season,position,depth_chart_position,jersey_number,status,full_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,fantasy_data_id,sleeper_id,update_dt,headshot_url,headshot_url2,name,Team.y,logo_def,game_id,posteam,rusher_player_name,noruns,nopass,noplays,touchdown,yards_gained,touchdown_rush,yards_rushing,epa
"Abdullah, Ameer",MIN,ATL,6,1.3,4500,1.8,4000,1.3,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png' height='12'></img>,2020_06_ATL_MIN,MIN,A.Abdullah,2,0,2,0,7,0,7,1.11922998100636
"Abdullah, Ameer",MIN,CAR,12,0,4500,0,4000,0,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png' height='12'></img>,,,,,,,,,,,
"Abdullah, Ameer",MIN,CHI,15,0,4500,0,4800,0,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png' height='12'></img>,,,,,,,,,,,
"Abdullah, Ameer",MIN,DAL,11,0,4500,0,4000,0,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png' height='12'></img>,,,,,,,,,,,
"Abdullah, Ameer",MIN,DET,9,8.7,4500,9.2,4000,8.7,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png' height='12'></img>,,,,,,,,,,,
"Abdullah, Ameer",MIN,GNB,1,0,4700,0,4000,0,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,,,,,,,,,,,
"Abdullah, Ameer",MIN,JAC,13,3.4,4500,3.9,4000,3.4,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png' height='12'></img>,2020_13_JAX_MIN,MIN,A.Abdullah,2,0,2,0,11,0,11,-0.189739599300083
"Abdullah, Ameer",MIN,TEN,3,0,4500,0,4000,0,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer","",<img src = 'https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png' height='12'></img>,,,,,,,,,,,
"Abdullah, Ameer",MIN,CHI,10,0,4500,0,4000,0,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png' height='12'></img>,,,,,,,,,,,
"Abdullah, Ameer",MIN,DET,17,8.2,4500,9.7,4000,8.2,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png' height='12'></img>,,,,,,,,,,,
