Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,gsis_id,status,game_id,posteam,defteam,passer_player_name,posteam_color,posteam_logo,defteam_color,defteam_logo,npass,pass_complete,pass_epa,pass_success,passing_yards,passing_touchdown,passing_fumble,passing_fumble_lost,air_yards_comp,yards_after_catch,qb_hit,qb_sack,qb_sack_yards,interception,air_yards_comp_20p,air_yards_20p,check1,pass_rtg,position,depth_chart_position,team,jersey_number,headshot_url,npass_a.<0,npass_b.=0,npass_c.0-5,npass_d.5-10,npass_e.10-20,npass_f.20+,pass_complete_a.<0,pass_complete_b.=0,pass_complete_c.0-5,pass_complete_d.5-10,pass_complete_e.10-20,pass_complete_f.20+,pass_complete_g.sacked,pass_complete_h.qb_spike,pass_complete_j.other,rusher_player_name,nrush,nrush_neg,rushing_yards_neg,rush_epa,rush_success,rushing_yards,rushing_touchdown,rushing_fumble,rushing_fumble_lost,left-end,left-tackle,left-guard,middle,right-guard,right-tackle,right-end,rushing_yards_le,rushing_yards_lt,rushing_yards_lg,rushing_yards_mid,rushing_yards_rg,rushing_yards_rt,rushing_yards_re,intangibles1
"Allen, Brandon",Br.Allen,CIN,BAL,17,0.12,6800,0.12,5000,0.12,21,00-0032434,Active,2020_17_BAL_CIN,CIN,BAL,B.Allen,#000000,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,#241773,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png,21,6,-24.3060598373134,4,48,0,0,0,15,33,2,0,0,2,0,3,0,-4.26587301587301,QB,QB,CIN,8,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574511.png,3,4,5,3,4,2,2,1,2,0,1,0,0,0,0,B.Allen,1,0,0,0.340699487831444,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,5
"Allen, Brandon",Br.Allen,CIN,DAL,14,13.88,6500,13.88,4900,13.88,20,00-0032434,Active,2020_14_DAL_CIN,CIN,DAL,B.Allen,#000000,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png,36,27,11.5215199342929,21,217,1,0,0,72,145,2,0,0,0,0,0,0,98.9583333333334,QB,QB,CIN,8,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574511.png,8,4,15,6,3,0,8,1,13,3,2,0,0,0,0,B.Allen,4,0,0,-0.16889337945031,2,12,0,0,0,1,0,0,1,0,1,1,3,0,0,2,0,3,4,1
"Allen, Brandon",Br.Allen,CIN,HOU,16,23.14,6600,26.14,4800,23.14,20,00-0032434,Active,2020_16_CIN_HOU,CIN,HOU,B.Allen,#000000,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,37,29,22.7453817231961,26,371,2,0,0,184,187,3,0,0,0,5,8,0,127.195945945946,QB,QB,CIN,8,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574511.png,7,2,10,6,5,7,7,2,8,5,3,4,0,0,0,B.Allen,2,1,-1,0.41571929597725,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1.6
"Allen, Brandon",Br.Allen,CIN,MIA,13,9.42,6000,9.42,4800,9.42,20,00-0032434,Active,2020_13_CIN_MIA,CIN,MIA,B.Allen,#000000,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,19,11,-7.00987703808825,9,153,1,0,0,39,114,8,5,-30,1,0,3,0,79.4956140350877,QB,QB,CIN,8,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574511.png,3,0,5,7,1,3,2,0,4,5,0,0,0,0,0,B.Allen,2,0,0,2.91311846859753,2,3,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,8
"Allen, Josh",Jo.Allen,BUF,KAN,6,16.08,8600,16.08,7900,16.08,37,00-0034857,Active,2020_06_KC_BUF,BUF,KAN,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#e31837,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,27,14,-3.11077193410865,11,122,2,0,0,76,46,5,0,0,1,0,3,0,73.3796296296296,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,1,2,9,6,6,3,1,1,6,3,3,0,0,0,0,J.Allen,8,1,-3,5.11165040545166,5,42,0,0,0,3,1,1,0,0,0,3,9,13,3,0,0,0,17,4.6
"Allen, Josh",Jo.Allen,BUF,LAC,12,16.48,8600,17.48,7600,16.48,39,00-0034857,Active,2020_12_LAC_BUF,BUF,LAC,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,24,18,1.06149065491492,10,157,1,0,0,83,74,7,2,-10,1,1,1,0,88.3680555555556,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,8,1,8,4,2,1,5,0,7,4,1,1,0,0,0,J.Allen,9,3,-5,-2.49530002020765,5,32,1,1,1,3,2,0,1,0,0,1,17,-2,0,11,0,0,7,8.8
"Allen, Josh",Jo.Allen,BUF,LAR,3,32.24,8100,36.24,6900,32.24,36,00-0034857,Active,2020_03_LA_BUF,BUF,LAR,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,66,48,16.9101290727267,42,622,8,2,2,342,280,14,8,-74,2,4,10,0,129.734848484848,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,12,6,16,8,14,10,10,2,14,8,10,4,0,0,0,J.Allen,8,2,-6,2.50776315300027,6,16,2,0,0,1,0,0,1,1,1,0,6,0,0,4,1,-3,0,11.8
"Allen, Josh",Jo.Allen,BUF,MIA,17,20.26,8200,20.26,7600,20.26,39,00-0034857,Active,2020_17_MIA_BUF,BUF,MIA,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,25,18,11.3726670039468,17,224,3,0,0,160,64,1,1,-11,1,2,4,0,122.75,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,2,0,11,4,4,4,0,0,10,3,3,2,0,0,0,J.Allen,2,1,-1,-0.190070530807134,0,3,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2.5
"Allen, Josh",Jo.Allen,BUF,NWE,8,13.46,8200,13.46,7000,13.46,34,00-0034857,Active,2020_08_NE_BUF,BUF,NWE,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,18,11,-1.13088133876461,9,154,0,0,0,71,83,4,1,-5,1,0,2,0,65.5092592592593,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,2,0,6,5,3,2,1,0,5,3,2,0,0,0,0,J.Allen,10,5,-5,1.25140839838423,3,23,1,0,0,0,0,0,2,1,1,2,0,0,0,21,2,-2,5,5
"Allen, Josh",Jo.Allen,BUF,NYJ,1,28.18,7900,33.18,6500,28.18,31,00-0034857,Active,2020_01_NYJ_BUF,BUF,NYJ,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#203731,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,46,33,13.8010084652079,27,312,2,0,0,175,137,4,3,-6,0,3,4,0,104.619565217391,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,9,3,17,5,10,2,7,3,11,3,8,1,0,0,0,J.Allen,14,5,-7,-6.00146827794379,6,57,1,2,2,3,1,2,2,0,0,2,-3,9,15,8,0,0,24,8.9
"Allen, Josh",Jo.Allen,BUF,PIT,14,19.32,8200,19.32,7100,19.32,33,00-0034857,Active,2020_14_PIT_BUF,BUF,PIT,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#000000,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,43,24,0.0534104892961516,17,238,2,1,0,108,130,5,1,-8,1,0,6,0,77.4709302325582,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,4,2,13,10,8,6,4,0,10,8,2,0,0,0,0,J.Allen,6,2,-2,-2.64084809029009,2,28,0,0,0,1,0,1,2,0,0,0,11,0,6,13,0,0,0,4.9
"Allen, Josh",Jo.Allen,BUF,SEA,9,36,8200,39,7000,36,35,00-0034857,Active,2020_09_SEA_BUF,BUF,SEA,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,38,31,16.4707288941216,28,415,3,0,0,221,194,9,7,-29,0,3,5,0,141.885964912281,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,5,2,10,8,9,4,5,2,8,6,8,2,0,0,0,J.Allen,7,3,-3,0.0658328990201929,2,14,1,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,15,8.9
"Allen, Josh",Jo.Allen,BUF,ARI,10,28.86,8700,29.36,7500,28.86,39,00-0034857,Active,2020_10_BUF_ARI,BUF,ARI,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#97233f,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,49,32,-0.554259731975739,26,284,2,0,0,135,149,4,0,0,2,1,7,0,77.2534013605442,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,10,1,18,6,8,6,7,1,14,5,4,1,0,0,0,J.Allen,7,2,-1,1.54244239805214,4,38,0,0,0,1,0,0,4,0,1,1,2,0,0,37,0,0,-1,6.2
"Allen, Josh",Jo.Allen,BUF,DEN,15,37.66,8400,40.66,7200,37.66,38,00-0034857,Active,2020_15_BUF_DEN,BUF,DEN,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,40,28,25.6637711375661,23,359,2,1,0,241,118,5,1,-7,0,3,5,0,114.479166666667,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,5,1,9,8,12,5,4,1,8,6,6,3,0,0,0,J.Allen,3,0,0,4.66850988261285,3,33,2,0,0,0,0,0,2,0,0,1,0,0,0,32,0,0,1,2.8
"Allen, Josh",Jo.Allen,BUF,LVR,4,25.42,8600,25.42,7300,25.42,40,00-0034857,Active,2020_04_BUF_LV,BUF,LVR,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,34,24,18.573673158527,21,288,2,0,0,211,77,6,1,-14,0,2,2,0,115.808823529412,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,6,2,10,7,7,2,2,1,7,6,6,2,0,0,0,J.Allen,3,2,-2,-1.40765405108687,1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.8
"Allen, Josh",Jo.Allen,BUF,MIA,2,34.48,8200,37.48,6700,34.48,35,00-0034857,Active,2020_02_BUF_MIA,BUF,MIA,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,35,24,28.7114746295589,21,415,4,0,0,261,154,3,1,-4,0,4,5,0,146.726190476191,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,4,0,11,4,11,5,3,0,8,2,7,4,0,0,0,J.Allen,4,2,-1,-0.785011026717257,1,19,0,0,0,1,0,0,1,0,0,0,4,0,0,16,0,0,0,2.3
"Allen, Josh",Jo.Allen,BUF,NWE,16,32.3,8800,35.3,7300,32.3,36,00-0034857,Active,2020_16_BUF_NE,BUF,NWE,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,36,27,18.3745256103575,20,320,4,0,0,183,137,0,0,0,0,1,5,0,138.657407407407,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,5,3,7,8,8,5,4,3,5,7,7,1,0,0,0,J.Allen,4,1,-1,5.17915308295051,2,35,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,11,22,0.1
"Allen, Josh",Jo.Allen,BUF,NYJ,7,16.38,8800,20.38,7700,16.38,37,00-0034857,Active,2020_07_BUF_NYJ,BUF,NYJ,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#203731,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,43,30,6.26283790342849,26,307,0,1,1,135,172,3,2,-11,0,1,4,0,89.9709302325582,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,9,0,9,15,7,3,7,0,8,13,1,1,0,0,0,J.Allen,11,3,-2,1.07502837311639,7,61,0,0,0,0,0,5,1,0,0,3,0,0,25,0,0,0,38,2.7
"Allen, Josh",Jo.Allen,BUF,TEN,5,18.32,8400,18.32,7500,18.32,37,00-0034857,Active,2020_05_BUF_TEN,BUF,TEN,J.Allen,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#002244,https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png,41,26,3.35302110845103,25,263,2,0,0,196,67,3,1,-10,2,1,4,0,77.5914634146342,QB,QB,BUF,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,3,1,12,10,11,4,3,0,9,7,6,1,0,0,0,J.Allen,4,1,-1,1.90780093090143,2,18,0,0,0,1,0,0,2,0,0,0,7,0,0,12,0,0,0,5.6
"Allen, Kyle",Ky.Allen,WAS,DAL,7,16.86,6700,16.86,5200,16.86,22,00-0034577,Active,2020_07_DAL_WAS,WAS,DAL,K.Allen,#773141,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/100px-Washington_football_team_wlogo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png,25,15,8.31866089528149,11,194,2,0,0,124,70,4,2,-5,0,2,3,0,111.083333333333,QB,QB,WAS,8,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115293.png,4,1,11,1,5,3,2,0,8,1,2,2,0,0,0,K.Allen,4,3,-2,-1.8173361729132,1,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,3.8
"Allen, Kyle",Ky.Allen,WAS,LAR,5,9.66,6000,9.66,4100,9.66,20,00-0034577,Active,2020_05_LA_WAS,WAS,LAR,K.Allen,#773141,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/100px-Washington_football_team_wlogo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,26,18,-5.74809766933322,10,148,0,0,0,22,126,6,4,-20,0,0,0,0,83.4935897435898,QB,QB,WAS,8,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115293.png,6,4,12,2,2,0,6,2,10,0,0,0,0,0,0,K.Allen,2,0,0,3.74073230486829,2,14,2,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,5
"Allen, Kyle",Ky.Allen,WAS,NYG,9,2.48,6800,2.48,5300,2.48,23,00-0034577,Active,2020_09_NYG_WAS,WAS,NYG,K.Allen,#773141,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/100px-Washington_football_team_wlogo.svg.png,#0b2265,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png,7,5,2.07523175736424,4,62,0,0,0,20,42,0,0,0,0,0,0,0,98.5119047619048,QB,QB,WAS,8,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115293.png,1,2,0,2,2,0,1,2,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allen, Kyle",Ky.Allen,WAS,NYG,6,17,6400,18,5100,17,20,00-0034577,Active,2020_06_WAS_NYG,WAS,NYG,K.Allen,#773141,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/100px-Washington_football_team_wlogo.svg.png,#0b2265,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png,42,31,0.167755373307703,23,280,2,1,1,131,149,9,3,-29,1,1,2,0,97.3214285714286,QB,QB,WAS,8,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115293.png,10,2,12,9,7,2,8,2,11,6,3,1,0,0,0,K.Allen,2,0,0,1.16603229381144,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,6.6
"Barkley, Matt",Ma.Barkley,BUF,MIA,17,9.26,6400,9.26,4800,9.26,25,00-0030533,Active,2020_17_MIA_BUF,BUF,MIA,M.Barkley,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,13,6,5.20974745595595,6,164,1,0,0,113,51,1,0,0,1,2,4,0,86.698717948718,QB,QB,BUF,5,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15948.png,1,1,3,2,2,4,0,0,2,1,1,2,0,0,0,M.Barkley,3,3,-3,-1.51553018909181,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
