Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,gsis_id,status,game_id,posteam,defteam,rusher_player_name,posteam_color,posteam_logo,defteam_color,defteam_logo,nrush,nrush_neg,rushing_yards_neg,rush_epa,rush_success,rushing_yards,rushing_touchdown,rushing_fumble,rushing_fumble_lost,qb_kneel,position,depth_chart_position,team,jersey_number,headshot_url,left-end,left-tackle,left-guard,middle,right-guard,right-tackle,right-end,rushing_yards_le,rushing_yards_lt,rushing_yards_lg,rushing_yards_mid,rushing_yards_rg,rushing_yards_rt,rushing_yards_re,receiver_player_name,ntargets,receptions,receiving_epa,receiving_success,receiving_yards,receiving_touchdown,receiving_fumble,receiving_fumble_lost,receiving_air_yards_comp,receiving_yards_after_catch,receiving_interception,check1,ntargets_c.0-5,ntargets_e.10-20,ntargets_a.<0,ntargets_d.5-10,ntargets_b.=0,ntargets_f.20+,ntargets_j.other,receptions_c.0-5,receptions_e.10-20,receptions_a.<0,receptions_d.5-10,receptions_b.=0,receptions_f.20+,receptions_j.other
"Abdullah, Ameer",Am.Abdullah,MIN,ATL,6,1.3,4500,1.8,4000,1.3,10,00-0032104,Active,2020_06_ATL_MIN,MIN,ATL,A.Abdullah,#4f2683,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,#a71930,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,2,0,0,1.11922998100636,2,7,0,0,0,0,RB,RB,MIN,31,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,0,1,0,1,0,0,0,0,3,0,4,0,0,0,A.Abdullah,1,1,-0.596648927545175,0,1,0,0,0,-3,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Abdullah, Ameer",Am.Abdullah,MIN,JAC,13,3.4,4500,3.9,4000,3.4,10,00-0032104,Active,2020_13_JAX_MIN,MIN,JAC,A.Abdullah,#4f2683,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png,2,0,0,-0.189739599300083,0,11,0,0,0,0,RB,RB,MIN,31,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,0,0,0,0,1,1,0,0,0,0,0,4,7,0,A.Abdullah,1,1,0.691745662741596,1,18,0,0,0,4,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Abdullah, Ameer",Am.Abdullah,MIN,NOR,16,1.3,4500,1.3,4000,1.3,10,00-0032104,Active,2020_16_MIN_NO,MIN,NOR,A.Abdullah,#4f2683,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,#9f8958,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png,1,0,0,1.36200710386038,1,13,0,0,0,0,RB,RB,MIN,31,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,0,0,0,0,0,0,1,0,0,0,0,0,0,13,A.Abdullah,1,0,-1.18792147870408,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Abdullah, Ameer",Am.Abdullah,MIN,TAM,14,3.1,4500,4.1,4000,3.1,10,00-0032104,Active,2020_14_MIN_TB,MIN,TAM,A.Abdullah,#4f2683,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,#d50a0a,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png,3,0,0,-0.392226379073691,0,11,0,0,0,0,RB,RB,MIN,31,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,0,2,0,1,0,0,0,0,8,0,3,0,0,0,A.Abdullah,2,2,0.465369615762029,1,10,0,0,0,0,10,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
"Adams, Josh",Jo.Adams,NYJ,LVR,13,7.4,4500,7.4,4000,7.4,10,00-0034457,Active,2020_13_LV_NYJ,NYJ,LVR,J.Adams,#203731,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,8,1,0,2.57203093438875,6,74,0,0,0,0,RB,,NYJ,36,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3932420.png,2,2,1,1,1,0,1,18,43,0,1,5,0,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Josh",Jo.Adams,NYJ,SFO,2,0,4900,0,4400,0,10,00-0034457,Active,2020_02_SF_NYJ,NYJ,SFO,J.Adams,#203731,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,#aa0000,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png,1,1,0,-3.44485900260042,0,0,0,0,0,0,RB,,NYJ,36,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3932420.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Josh",Jo.Adams,NYJ,BUF,1,9.2,4500,10.2,4000,9.2,10,00-0034457,Active,2020_01_NYJ_BUF,NYJ,BUF,J.Adams,#203731,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,2,0,0,2.27948232993367,2,8,1,0,0,0,RB,,NYJ,36,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3932420.png,0,0,0,2,0,0,0,0,0,0,8,0,0,0,J.Adams,2,2,0.59221916878596,2,14,0,0,0,5,9,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
"Adams, Josh",Jo.Adams,NYJ,NWE,17,12.9,4600,13.9,4000,12.9,10,00-0034457,Active,2020_17_NYJ_NE,NYJ,NWE,J.Adams,#203731,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,11,1,0,0.710677592433058,7,47,1,0,0,0,RB,,NYJ,36,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3932420.png,3,0,1,4,1,1,1,23,0,1,9,1,8,5,J.Adams,4,2,1.9237735964125,2,12,0,0,0,4,8,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0
"Adams, Josh",Jo.Adams,NYJ,SEA,14,4,5100,5,4100,4,12,00-0034457,Active,2020_14_NYJ_SEA,NYJ,SEA,J.Adams,#203731,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,6,1,-3,-1.40714883932378,2,27,0,0,0,0,RB,,NYJ,36,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3932420.png,0,3,2,0,0,1,0,0,4,14,0,0,9,0,J.Adams,2,2,-0.776113673869986,1,3,0,0,0,-4,7,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
"Ahmed, Salvon",Sa.Ahmed,MIA,LAC,10,15.5,4900,16,4000,15.5,12,00-0036020,Active,2020_10_LAC_MIA,MIA,LAC,S.Ahmed,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,21,6,-5,-2.54570602328777,10,85,1,0,0,0,RB,RB,MIA,26,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4243315.png,0,2,4,7,4,2,2,0,21,8,39,10,5,2,S.Ahmed,1,1,0.0412521199905314,1,5,0,0,0,-2,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
