Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,gsis_id,status,game_id,posteam,defteam,receiver_player_name,posteam_color,posteam_logo,defteam_color,defteam_logo,ntargets,receptions,receiving_epa,receiving_success,receiving_yards,receiving_touchdown,receiving_fumble,receiving_fumble_lost,receiving_air_yards_comp,receiving_yards_after_catch,receiving_interception,check1,position,depth_chart_position,team,jersey_number,headshot_url,ntargets_c.0-5,ntargets_e.10-20,ntargets_a.<0,ntargets_d.5-10,ntargets_b.=0,ntargets_f.20+,ntargets_j.other,receptions_c.0-5,receptions_e.10-20,receptions_a.<0,receptions_d.5-10,receptions_b.=0,receptions_f.20+,receptions_j.other,rusher_player_name,nrush,nrush_neg,rushing_yards_neg,rush_epa,rush_success,rushing_yards,rushing_touchdown,rushing_fumble,rushing_fumble_lost,qb_kneel,left-end,left-tackle,left-guard,middle,right-guard,right-tackle,right-end,rushing_yards_le,rushing_yards_lt,rushing_yards_lg,rushing_yards_mid,rushing_yards_rg,rushing_yards_rt,rushing_yards_re
"Akins, Jordan",Jo.Akins,HOU,BAL,2,9,4600,12.5,3300,9,10,00-0034364,Active,2020_02_BAL_HOU,HOU,BAL,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#241773,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png,7,7,1.38535411504563,5,55,0,0,0,19,36,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,2,0,1,2,2,0,0,2,0,1,2,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akins, Jordan",Jo.Akins,HOU,CIN,16,5.9,5100,7.9,3300,5.9,13,00-0034364,Active,2020_16_CIN_HOU,HOU,CIN,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#000000,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,4,4,2.19651335262461,4,39,0,0,0,19,20,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,1,1,1,1,0,0,0,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akins, Jordan",Jo.Akins,HOU,IND,13,2,5200,3,2900,2,10,00-0034364,Active,2020_13_IND_HOU,HOU,IND,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,3,2,-1.61419545544777,1,10,0,0,0,4,6,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,1,1,1,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akins, Jordan",Jo.Akins,HOU,MIN,4,6.1,4900,7.6,3300,6.1,13,00-0034364,Active,2020_04_MIN_HOU,HOU,MIN,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#4f2683,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,3,3,3.71514688807656,3,46,0,0,0,26,20,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,1,0,1,0,0,1,0,1,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akins, Jordan",Jo.Akins,HOU,NWE,11,10.8,4900,13.3,2500,10.8,10,00-0034364,Active,2020_11_NE_HOU,HOU,NWE,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,6,5,6.14074363248097,5,83,0,0,0,50,33,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,1,4,0,0,1,0,0,1,3,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akins, Jordan",Jo.Akins,HOU,TEN,17,1.4,5000,1.9,3300,1.4,11,00-0034364,Active,2020_17_TEN_HOU,HOU,TEN,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#002244,https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png,2,1,-0.324958830843822,1,9,0,0,0,8,1,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akins, Jordan",Jo.Akins,HOU,CHI,14,3.5,5000,5,2900,3.5,12,00-0034364,Active,2020_14_HOU_CHI,HOU,CHI,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#0b162a,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,6,3,-0.803165659483057,2,20,0,0,0,13,7,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,2,2,0,1,1,0,0,1,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akins, Jordan",Jo.Akins,HOU,CLE,10,1,4900,1.5,2900,1,11,00-0034364,Active,2020_10_HOU_CLE,HOU,CLE,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#fb4f14,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png,1,1,0.0979052531765774,1,5,0,0,0,5,0,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akins, Jordan",Jo.Akins,HOU,DET,12,0.4,5200,0.4,2900,0.4,13,00-0034364,Active,2020_12_HOU_DET,HOU,DET,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#005a8b,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png,2,0,-1.76079806304194,0,0,0,0,0,0,0,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,0,0,0,1,0,1,0,0,0,0,0,0,0,0,J.Akins,1,0,0,0.75279469229281,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
"Akins, Jordan",Jo.Akins,HOU,IND,15,7.5,5000,10,2800,7.5,10,00-0034364,Active,2020_15_HOU_IND,HOU,IND,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,6,5,2.8155586636276,5,50,0,0,0,40,10,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,2,1,0,3,0,0,0,1,1,0,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akins, Jordan",Jo.Akins,HOU,JAC,9,2.9,4800,3.9,3300,2.9,13,00-0034364,Active,2020_09_HOU_JAX,HOU,JAC,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png,4,2,0.550460700294934,2,19,0,0,0,10,9,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,1,2,0,1,0,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akins, Jordan",Jo.Akins,HOU,KAN,1,10.9,4300,11.9,3100,10.9,10,00-0034364,Active,2020_01_HOU_KC,HOU,KAN,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#e31837,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,2,2,4.33068583661225,2,39,1,0,0,24,15,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,1,1,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akins, Jordan",Jo.Akins,HOU,PIT,3,3.8,5000,4.8,3400,3.8,11,00-0034364,Active,2020_03_HOU_PIT,HOU,PIT,J.Akins,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#000000,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,3,2,-0.567043169401586,1,28,0,0,0,13,15,0,0,TE,TE,HOU,88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128452.png,2,1,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Mo",Mo.Alie-Cox,IND,BAL,9,5.8,5000,7.3,3000,5.8,12,00-0033217,Active,2020_09_BAL_IND,IND,BAL,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#241773,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png,3,3,2.7053751940839,2,43,0,0,0,33,10,0,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,1,2,0,0,0,0,0,1,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Mo",Mo.Alie-Cox,IND,GNB,11,0.6,4900,2.6,2900,0.6,10,00-0033217,Active,2020_11_GB_IND,IND,GNB,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,3,2,-4.44142950815149,1,16,0,1,1,6,10,0,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,1,0,1,1,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Mo",Mo.Alie-Cox,IND,HOU,15,2.4,4500,3.4,2500,2.4,10,00-0033217,Active,2020_15_HOU_IND,IND,HOU,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,2,2,-0.423690559226088,0,14,0,0,0,7,7,0,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Mo",Mo.Alie-Cox,IND,MIN,2,13.6,4000,19.1,3000,13.6,10,00-0033217,Active,2020_02_MIN_IND,IND,MIN,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#4f2683,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,6,5,4.88157560265972,5,111,0,0,0,71,40,1,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,0,2,1,1,0,2,0,0,2,1,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Mo",Mo.Alie-Cox,IND,NYJ,3,12.5,5000,14,3800,12.5,12,00-0033217,Active,2020_03_NYJ_IND,IND,NYJ,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#203731,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,3,3,2.61608597071609,2,50,1,0,0,21,29,0,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,2,1,0,0,0,0,0,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Mo",Mo.Alie-Cox,IND,TEN,12,2.9,4800,3.9,2700,2.9,11,00-0033217,Active,2020_12_TEN_IND,IND,TEN,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#002244,https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png,2,2,1.66571465611923,2,19,0,0,0,12,7,0,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,1,0,0,1,0,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
