Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,gsis_id,status,game_id,posteam,defteam,receiver_player_name,posteam_color,posteam_logo,defteam_color,defteam_logo,ntargets,receptions,receiving_epa,receiving_success,receiving_yards,receiving_touchdown,receiving_fumble,receiving_fumble_lost,receiving_air_yards_comp,receiving_yards_after_catch,receiving_interception,check1,position,depth_chart_position,team,jersey_number,headshot_url,ntargets_c.0-5,ntargets_e.10-20,ntargets_a.<0,ntargets_d.5-10,ntargets_b.=0,ntargets_f.20+,ntargets_j.other,receptions_c.0-5,receptions_e.10-20,receptions_a.<0,receptions_d.5-10,receptions_b.=0,receptions_f.20+,receptions_j.other,rusher_player_name,nrush,nrush_neg,rushing_yards_neg,rush_epa,rush_success,rushing_yards,rushing_touchdown,rushing_fumble,rushing_fumble_lost,qb_kneel,left-end,left-tackle,left-guard,middle,right-guard,right-tackle,right-end,rushing_yards_le,rushing_yards_lt,rushing_yards_lg,rushing_yards_mid,rushing_yards_rg,rushing_yards_rt,rushing_yards_re
"Adams, Davante",Da.Adams,GNB,CAR,15,7.7,9500,11.2,9400,7.7,38,00-0031381,Active,2020_15_CAR_GB,GNB,CAR,D.Adams,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,#0085ca,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,10,7,-0.785553834808525,3,42,0,0,0,14,28,0,0,WR,LWR,GNB,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,1,2,1,2,4,0,0,1,1,1,0,4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Davante",Da.Adams,GNB,CHI,12,15.1,9500,18.1,8800,15.1,36,00-0031381,Active,2020_12_CHI_GB,GNB,CHI,D.Adams,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,#0b162a,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,9,6,4.10100823774701,5,61,1,0,0,27,34,0,0,WR,LWR,GNB,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,3,1,0,2,1,2,0,3,1,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Davante",Da.Adams,GNB,DET,2,5.1,8600,6.6,8100,5.1,37,00-0031381,Active,2020_02_DET_GB,GNB,DET,D.Adams,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,#005a8b,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png,3,3,3.6088701277622,3,36,0,0,0,21,15,0,0,WR,LWR,GNB,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,1,1,0,1,0,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Davante",Da.Adams,GNB,JAC,10,14.6,9500,19.6,9000,14.6,39,00-0031381,Active,2020_10_JAX_GB,GNB,JAC,D.Adams,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png,12,8,-5.32990736976274,5,66,1,1,1,14,52,0,0,WR,LWR,GNB,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,3,0,2,5,1,1,0,3,0,2,2,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Davante",Da.Adams,GNB,MIN,8,26.8,9100,30.3,8800,26.8,38,00-0031381,Active,2020_08_MIN_GB,GNB,MIN,D.Adams,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,#4f2683,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,11,7,3.65254972048569,6,53,3,0,0,39,14,0,0,WR,LWR,GNB,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,2,5,1,1,1,1,0,2,2,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Davante",Da.Adams,GNB,PHI,13,29.1,9500,37.1,9000,29.1,39,00-0031381,Active,2020_13_PHI_GB,GNB,PHI,D.Adams,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,#004953,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,12,10,11.0484961025699,9,121,2,0,0,80,41,0,0,WR,LWR,GNB,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,4,1,1,3,1,2,0,3,1,1,3,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Davante",Da.Adams,GNB,TEN,16,37.7,9200,46.2,9100,37.7,41,00-0031381,Active,2020_16_TEN_GB,GNB,TEN,D.Adams,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,#002244,https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png,12,11,10.9595559244626,10,142,3,0,0,91,51,1,0,WR,LWR,GNB,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,1,2,1,6,1,1,0,1,1,1,6,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Davante",Da.Adams,GNB,CHI,17,13.6,9300,16.6,9200,13.6,37,00-0031381,Active,2020_17_GB_CHI,GNB,CHI,D.Adams,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,#0b162a,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,6,6,6.65569131376105,6,46,1,0,0,35,11,0,0,WR,LWR,GNB,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,1,0,0,5,0,0,0,1,0,0,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Davante",Da.Adams,GNB,DET,14,21,9600,27.5,9300,21,39,00-0031381,Active,2020_14_GB_DET,GNB,DET,D.Adams,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,#005a8b,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png,10,7,5.28375898563536,4,115,1,0,0,27,88,0,0,WR,LWR,GNB,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,2,2,3,2,0,1,0,2,1,3,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Davante",Da.Adams,GNB,HOU,7,38.1,8900,47.6,7900,38.1,35,00-0031381,Active,2020_07_GB_HOU,GNB,HOU,D.Adams,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,16,13,17.7675651087775,12,196,2,0,0,94,102,0,0,WR,LWR,GNB,17,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,4,5,2,1,2,2,0,4,3,2,0,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
