posteam,week,nodrives,noplays,noruns,nopass,sack,interception,incomplete_pass,complete_pass,notds,touchdown_rush,touchdown_pass,yards_gained,yards_passing,yards_receiving,yards_rushing,yards_after_catch,air_yards2,air_yards,epa,def_nodrives,def_noplays,def_noruns,def_nopass,def_sack,def_interception,def_incomplete_pass,def_complete_pass,def_notds,def_touchdown_rush,def_touchdown_pass,def_yards_gained,def_yards_passing,def_yards_receiving,def_yards_rushing,def_yards_after_catch,def_air_yards2,def_air_yards,def_epa
ARI,1,12,77,36,40,2,1,13,26,3,2,1,404,230,230,180,133,97,192,5.91689875710502,11,61,25,33,3,0,14,19,2,0,2,366,259,259,123,161,98,220,-2.83265634431391
ARI,2,12,73,32,38,3,1,11,26,3,2,1,438,286,286,160,120,166,352,8.2691633416303,11,60,23,33,4,0,14,19,2,1,1,316,223,223,117,134,89,283,-2.55418708038306
ARI,3,10,63,27,35,1,3,9,23,3,1,2,377,270,270,109,119,151,332,-0.212294080178253,10,62,27,31,4,0,9,22,2,0,2,322,270,270,90,151,119,220,1.98251604393786
ARI,4,9,55,23,31,1,0,7,24,3,0,3,262,133,133,129,63,70,213,4.37652384959802,10,72,35,37,0,1,10,26,4,2,2,444,276,276,168,173,103,228,18.0317328050461
ARI,5,11,67,30,37,1,1,9,27,4,3,1,496,380,380,127,152,228,336,15.0281424925184,10,64,28,33,3,0,15,18,1,0,1,285,195,195,123,95,100,322,-8.60954617960283
ARI,6,11,60,35,24,1,0,15,9,5,3,2,438,188,188,261,117,71,240,19.1368800762116,11,84,27,54,3,2,18,34,1,0,1,344,266,266,97,153,113,301,-14.8381607738423
ARI,7,13,77,33,48,0,1,13,34,4,1,3,519,360,360,159,175,185,387,5.53705152218454,12,82,30,50,2,3,14,33,4,1,3,572,388,388,200,158,230,451,9.32294774641612
ARI,9,9,64,37,26,1,0,5,21,5,1,3,442,283,283,178,52,231,250,9.69111603168854,9,55,25,28,3,0,8,20,3,1,2,312,248,248,91,68,180,229,8.33040935191657
ARI,10,12,70,35,32,3,1,9,22,3,2,1,453,245,245,217,96,149,231,4.85331186835736,12,68,18,50,0,2,15,33,3,0,3,369,296,296,73,166,130,343,-0.638096234348548
ARI,11,9,63,18,42,3,0,13,29,3,1,2,314,269,269,57,136,133,284,8.40316951996647,10,62,31,28,3,0,5,23,3,1,2,347,197,197,165,101,96,188,12.5306076525639
ARI,12,9,70,34,34,2,1,10,23,2,2,0,298,170,170,138,75,95,229,-4.41669906382177,9,50,30,18,3,2,7,9,2,2,0,179,84,84,110,49,35,105,-11.0809231200862
ARI,13,12,61,21,39,2,1,17,21,5,1,3,232,173,173,92,87,86,240,-11.344455347202,11,79,31,47,1,0,10,37,4,3,1,463,351,351,119,256,95,167,13.3313352985731
ARI,14,13,79,43,35,1,0,11,24,2,1,1,390,244,244,159,128,116,191,1.35207560102261,11,49,17,24,8,0,11,13,1,1,0,159,145,145,78,30,115,271,-18.217250880145
ARI,15,13,68,30,37,1,1,8,28,4,1,3,526,432,432,103,177,255,364,1.14437824287283,13,79,29,44,6,0,20,24,4,1,3,422,338,338,117,173,165,477,3.37998574369703
ARI,16,12,79,27,50,3,1,18,31,1,1,0,350,247,247,120,96,151,406,-13.5609999160416,12,55,30,22,3,0,9,13,3,0,3,398,182,182,227,109,73,145,8.53802396439496
ARI,17,12,49,18,27,4,1,7,19,2,0,1,214,192,192,48,144,48,213,-15.2966562221148,10,70,30,38,2,1,15,22,0,0,0,333,231,231,110,93,138,358,-9.62131525732646
ATL,1,12,77,21,54,2,1,16,37,3,1,2,506,450,450,72,106,344,524,0.0357722726256862,11,58,20,35,3,0,4,31,5,1,4,383,322,322,84,160,162,205,18.4017207008825
