week,defteam,noruns,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_rush,touchdown_pass,yards_rushing,yards_after_catch,air_yards,air_yards2,epa
1,ARI,25,33,61,2,366,259,0,3,6,14,19,259,0,2,123,161,220,98,-2.83265634431391
1,ATL,20,35,58,5,383,322,0,3,9,4,31,322,1,4,84,160,205,162,18.4017207008825
1,BAL,27,39,68,1,306,189,1,2,6,17,21,189,0,1,138,34,358,155,-16.4293415714336
1,BUF,15,35,51,2,254,215,1,3,4,13,21,215,1,1,52,139,257,76,-8.44052137347792
1,CAR,31,30,61,4,372,239,0,0,0,8,22,239,3,1,133,158,166,81,15.0756779395264
1,CHI,29,42,71,2,426,297,1,1,6,17,24,297,1,1,138,129,372,168,-1.00213374802836
1,CIN,39,30,71,1,362,208,0,2,4,14,16,208,1,0,155,80,335,128,-6.21882854469013
1,CLE,30,26,58,5,381,284,0,2,4,5,21,284,2,3,111,77,257,207,11.6342701098362
1,DAL,40,31,72,2,422,275,1,1,3,10,20,275,2,0,153,195,140,80,1.6936029748686
1,DEN,34,43,78,2,377,249,0,1,7,14,29,249,0,2,130,96,266,153,8.17215465594378
1,DET,28,36,65,3,363,242,0,1,5,16,20,242,0,3,149,81,349,161,7.23818732849844
1,GNB,22,25,49,4,382,259,1,2,4,5,19,259,2,2,134,72,267,187,12.9600120622839
1,HOU,34,32,67,4,369,211,0,1,3,8,24,211,1,3,166,133,147,78,14.3226077463646
1,IND,23,20,47,3,241,173,0,4,4,1,19,173,0,3,91,98,89,75,6.15406756103829
1,JAC,22,46,69,2,445,363,2,1,6,8,36,363,1,1,88,212,289,151,1.77861682832262
1,KAN,22,32,58,3,360,253,1,4,6,11,20,253,2,1,118,132,283,121,9.78399233206762
1,LAC,28,36,66,1,295,193,1,3,6,12,23,193,1,0,122,83,291,110,-14.8252344065013
1,LAR,27,39,69,2,380,266,0,3,7,14,25,266,1,1,136,114,283,152,-1.36874030933904
1,LVR,30,34,65,3,388,269,0,1,3,12,22,269,2,1,129,137,279,132,6.96198653367498
1,MIA,42,19,63,3,357,155,0,2,3,4,15,155,3,0,217,88,101,67,10.1845417748055
1,MIN,32,44,76,5,522,364,0,0,2,12,32,364,1,4,158,155,391,209,23.5100873921861
1,NOR,26,36,65,4,310,239,2,3,6,11,23,239,1,2,86,90,292,149,-9.40734760073018
1,NWE,27,30,58,1,269,191,3,1,5,7,20,191,1,0,87,59,251,132,-11.0515667284151
1,NYG,30,32,64,3,349,229,0,2,5,11,21,229,0,3,141,105,221,124,9.7212849943946
1,NYJ,32,46,81,3,404,312,0,3,4,13,33,312,1,2,98,137,279,175,0.67607813361907
1,PHI,36,31,70,3,239,178,0,3,8,14,17,178,2,1,80,95,248,83,-13.8583592254766
1,PIT,20,41,64,2,291,279,2,3,8,13,26,279,0,2,29,116,232,163,-8.23558624320648
1,SEA,21,54,77,3,506,450,1,2,8,16,37,450,1,2,72,106,524,344,0.0357722726256862
1,SFO,36,40,77,3,404,230,1,2,3,13,26,230,2,1,180,133,192,97,5.91689875710502
1,TAM,34,31,66,3,271,198,0,1,3,12,19,198,1,2,82,116,166,82,-14.2161159242621
1,TEN,26,33,59,2,323,216,0,0,5,11,22,216,1,1,107,133,303,83,-5.00688332249411
1,WAS,17,42,67,2,265,270,2,8,13,16,24,270,0,2,57,113,520,157,-20.490868219298
2,ARI,23,33,60,2,316,223,0,4,8,14,19,223,1,1,117,134,283,89,-2.55418708038306
2,ATL,31,49,80,5,570,450,0,1,4,15,34,450,4,1,125,205,381,245,6.7622948563541
2,BAL,17,36,56,2,304,275,1,4,11,10,25,275,0,1,51,112,283,163,-11.2367893349799
2,BUF,22,47,71,3,410,328,0,3,10,16,31,328,1,2,99,121,313,207,10.2740004207938
2,CAR,22,35,57,4,339,217,1,0,1,11,23,217,3,1,122,110,234,107,-1.12440805833993
2,CHI,18,40,60,1,295,241,1,4,4,14,25,241,1,0,75,80,254,161,-6.41303406286804
2,CIN,35,23,58,5,434,219,1,0,0,6,16,219,3,2,215,73,210,146,17.7546210279979
2,CLE,24,61,87,3,353,316,0,3,7,24,37,316,0,3,68,127,486,189,6.38297982812418
2,DAL,34,37,72,4,380,273,0,1,4,13,24,273,0,4,113,105,377,168,9.15381081029316
2,DEN,22,41,64,3,410,311,1,1,3,11,29,311,1,2,109,168,233,143,-9.93728437296363
2,DET,35,30,66,4,488,240,0,1,3,12,18,240,2,2,259,100,277,140,22.3177264983016
2,GNB,21,33,58,4,307,244,1,4,6,12,20,244,1,2,89,138,257,106,-2.06254082077066
2,HOU,37,24,65,2,407,204,0,4,5,6,18,204,1,1,230,103,190,101,10.3126675429742
2,IND,18,26,46,1,175,113,3,3,6,12,11,113,1,0,80,19,312,94,-14.4085986342093
2,JAC,34,24,59,4,354,239,0,1,4,6,18,239,0,4,123,89,191,150,13.7949375807395
2,KAN,44,33,78,2,479,311,1,2,7,10,22,311,1,1,183,185,283,126,3.08763541555811
2,LAC,22,47,70,2,414,302,0,1,8,20,27,302,0,2,125,116,339,186,7.33753040920926
2,LAR,26,43,69,2,363,242,2,0,3,15,26,242,2,0,121,111,281,131,-5.53622275509683
2,LVR,19,38,57,3,424,312,1,0,7,11,26,312,2,1,112,213,196,99,10.2065857194792
2,MIA,23,35,59,4,523,415,0,1,3,11,24,415,0,4,112,154,362,261,21.034442621141
2,MIN,40,25,67,2,354,214,1,2,2,5,19,214,1,1,151,108,219,106,-0.247046007895931
2,NOR,35,38,76,4,377,284,0,3,4,10,28,284,1,3,116,147,265,137,8.81366499221312
2,NWE,30,28,61,6,429,288,1,2,7,6,21,288,0,5,154,133,258,155,13.0279964357615
2,NYG,32,28,64,2,304,190,2,4,5,8,18,190,0,2,135,71,239,119,-0.980402828860594
2,NYJ,29,27,59,4,359,202,1,3,11,4,22,202,2,2,182,125,134,77,10.363353594207
2,PHI,39,27,67,5,449,267,0,1,3,7,20,267,2,3,191,109,221,158,25.7395186623969
2,PIT,26,39,72,2,319,276,1,7,18,19,19,276,0,2,104,61,515,215,-14.6954601443933
2,SEA,25,44,70,3,464,397,1,1,5,13,30,397,2,1,67,126,351,271,14.3598362682771
2,SFO,29,32,62,1,277,179,0,1,6,11,21,179,0,1,104,99,144,80,-12.1214304269697
2,TAM,24,42,71,2,427,367,2,5,7,7,33,367,2,0,87,149,309,218,-10.2921183104645
2,TEN,27,45,74,4,480,339,2,2,5,13,30,339,1,3,165,96,393,243,18.8272862356315
2,WAS,32,38,73,3,438,286,1,3,2,11,26,286,2,1,160,120,352,166,8.2691633416303
3,ARI,27,31,62,2,322,270,0,4,6,9,22,270,0,2,90,151,220,119,1.98251604393786
3,ATL,25,51,78,4,437,316,2,2,9,20,29,316,0,4,130,152,532,164,0.728651744259112
3,BAL,31,42,73,5,517,385,0,0,4,11,31,385,1,4,132,178,346,207,23.5058193389957
3,BUF,32,32,66,4,478,321,1,2,6,8,23,321,2,2,167,154,185,167,21.187336491602
3,CAR,23,49,73,2,436,330,1,2,8,13,35,330,1,1,117,186,296,144,-7.92579008451441
3,CHI,25,38,65,3,371,238,1,2,7,18,19,238,2,1,144,77,423,161,-1.92261168706201
3,CIN,36,47,86,2,378,225,2,3,5,16,29,225,1,1,172,104,353,121,-3.34543988342046
3,CLE,22,37,62,3,309,224,3,3,3,13,21,224,1,2,103,145,245,79,-7.15545575565193
3,DAL,26,40,70,5,412,315,0,4,8,13,27,315,0,5,117,74,394,241,4.04133697159705
3,DEN,25,38,65,3,353,297,0,2,6,13,25,297,0,3,68,111,311,186,9.19952946687413
3,DET,27,35,63,3,377,270,3,1,2,9,23,270,1,2,109,119,332,151,-0.212294080178253
3,GNB,20,36,57,3,397,288,0,2,2,7,29,288,0,3,122,163,152,125,6.85088473479483
3,HOU,38,36,76,3,387,237,0,2,5,13,23,237,1,2,169,140,323,97,4.91600769985419
3,IND,29,29,60,3,260,168,3,2,7,9,17,168,0,1,109,122,182,46,-25.4692773325369
3,JAC,36,20,57,4,294,160,0,1,5,2,18,160,2,2,138,46,144,114,9.9681332360783
3,KAN,21,28,53,1,228,97,0,4,5,13,15,97,0,1,158,32,260,65,-6.15219770387355
3,LAC,21,28,51,1,302,235,0,2,2,6,22,235,0,1,81,136,138,99,-5.15475204939761
3,LAR,21,33,58,5,375,311,1,4,7,8,24,311,1,4,101,140,307,171,11.3121776638145
3,LVR,38,28,68,3,406,162,1,2,4,10,17,162,2,1,250,126,129,36,7.16110209839547
3,MIA,17,42,63,2,318,275,1,4,9,11,30,275,2,0,72,161,313,114,-10.0294935613929
3,MIN,34,37,73,2,444,321,1,2,7,13,23,321,2,0,134,88,363,233,1.44978016974929
3,NOR,26,32,59,4,369,283,0,1,3,11,21,283,1,3,98,151,288,132,9.29927822878195
3,NWE,22,32,56,3,375,261,0,2,5,8,24,261,0,2,126,115,247,146,-4.19188766713568
3,NYG,35,36,73,4,420,343,0,2,9,11,25,343,3,1,93,141,284,202,23.2986767593655
3,NYJ,31,25,56,2,353,234,0,0,1,6,19,234,1,1,119,119,143,115,3.39923470039312
3,PHI,17,44,69,2,295,312,0,8,17,13,31,312,0,2,39,123,390,189,-0.121846539050719
3,PIT,15,27,47,3,260,264,1,5,11,7,19,264,1,2,29,82,285,182,2.06127261323854
3,SEA,21,57,80,4,522,472,2,2,10,18,37,472,1,3,61,186,458,286,11.6874719820121
3,SFO,15,32,49,0,231,179,1,2,6,14,17,179,0,0,66,39,284,140,-15.7662458534538
3,TAM,14,39,59,1,226,229,2,6,10,12,25,229,0,1,42,92,262,137,-16.252187008178
3,TEN,33,27,62,4,464,251,2,2,11,9,16,251,1,3,226,121,237,130,3.68119181987083
3,WAS,37,23,62,4,300,156,0,2,4,7,16,156,2,2,158,66,189,90,4.57411593228554
4,ARI,35,37,72,4,444,276,1,0,3,10,26,276,2,2,168,173,228,103,18.0317328050461
4,ATL,26,33,60,4,403,327,0,1,1,6,27,327,0,4,88,173,285,154,16.9657940604775
4,BAL,22,45,70,2,343,314,0,3,9,13,32,314,2,0,69,204,200,110,-2.15608582458966
4,BUF,23,44,68,2,383,311,0,2,4,12,32,311,0,2,86,138,267,173,-1.90678613588798
4,CAR,23,31,55,3,262,133,0,1,3,7,24,133,0,3,129,63,213,70,4.37652384959802
4,CHI,38,29,68,1,289,190,0,1,3,13,16,190,0,1,103,73,230,117,-1.15236083738868
4,CIN,20,40,62,2,429,351,1,3,4,12,27,351,0,2,89,146,304,205,10.122805100699
4,CLE,18,58,79,5,566,502,1,3,2,16,41,502,1,4,85,235,511,267,9.22992126102326
4,DAL,40,31,72,6,508,202,0,2,2,11,20,202,3,3,307,44,295,158,27.1000286742352
4,DEN,24,44,74,1,321,246,0,6,9,19,25,246,1,0,129,68,439,178,-12.2458982709982
4,DET,42,25,69,5,392,246,1,2,6,5,19,246,3,2,164,90,233,156,17.2745078731095
4,GNB,25,39,68,2,327,285,0,4,7,11,28,285,2,0,78,111,369,174,2.61232456193011
4,HOU,40,22,65,4,410,260,0,3,8,6,16,260,3,1,162,94,276,166,16.0566877560845
4,IND,16,42,59,1,269,249,1,1,5,15,26,249,0,1,28,71,373,178,-9.93788058316699
4,JAC,34,36,71,3,505,300,1,1,5,10,25,300,2,1,205,130,370,170,16.2997049600506
4,KAN,35,37,74,2,357,190,3,2,6,14,20,190,0,1,185,87,296,103,-15.606473790926
4,LAC,27,46,73,6,484,369,1,0,6,15,30,369,0,5,115,109,431,260,11.016513840862
4,LAR,25,36,66,0,295,190,1,5,8,12,23,190,0,0,136,118,209,72,-11.6070724516497
4,LVR,24,34,59,4,337,288,0,1,6,10,24,288,2,2,63,77,229,211,13.5090845696318
4,MIA,26,34,62,4,441,360,1,2,5,9,24,360,2,2,98,168,305,192,12.428946404761
4,MIN,26,33,62,2,386,300,0,3,4,13,20,300,0,2,96,102,300,198,1.51803419893888
4,NOR,22,31,56,4,281,206,1,3,7,13,17,206,1,3,90,75,325,131,2.64845391747076
4,NWE,25,29,55,2,323,236,0,1,1,10,19,236,0,2,94,152,235,84,2.85534336928427
