week,posteam,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa
1,ARI,37,37,1,230,230,1,0,0,10,26,230,1,133,192,97,1.00409781902353
1,ATL,52,52,2,450,450,0,0,5,15,37,450,2,106,487,344,17.6770365995626
1,BAL,25,25,3,284,284,0,0,1,4,21,284,3,77,255,207,18.7972734699724
1,BUF,45,45,2,312,312,0,0,2,12,33,312,2,137,274,175,17.9748399993127
1,CAR,34,34,1,269,269,0,0,2,12,22,269,1,137,279,132,7.27267343655185
1,CHI,36,36,3,242,242,0,0,4,16,20,242,3,81,349,161,4.31261871483815
1,CIN,35,35,0,193,193,1,0,3,11,23,193,0,83,291,110,-1.48640256944512
1,CLE,35,35,1,189,189,1,0,4,13,21,189,1,34,308,155,-2.78698434049039
1,DAL,37,37,1,266,266,0,0,3,12,25,266,1,114,256,152,1.75455660516674
1,DEN,32,32,1,216,216,0,0,5,10,22,216,1,133,292,83,-6.69922476602369
1,DET,41,41,1,297,297,1,0,5,16,24,297,1,129,372,168,4.17147680188653
1,GNB,41,41,4,364,364,0,0,2,9,32,364,4,155,383,209,20.9557170051402
1,HOU,31,31,1,253,253,1,0,3,10,20,253,1,132,260,121,9.41013194254953
1,IND,46,46,1,363,363,2,0,5,8,36,363,1,212,289,151,9.91244939095013
1,JAC,20,20,3,173,173,0,0,0,1,19,173,3,98,89,75,16.0408343995805
1,KAN,32,32,3,211,211,0,0,2,8,24,211,3,133,147,78,16.0422363139223
1,LAC,29,29,0,208,208,0,0,2,13,16,208,0,80,328,128,1.84353494051612
1,LAR,28,28,0,275,275,1,0,2,7,20,275,0,195,124,80,10.7392614126907
1,LVR,28,28,1,239,239,0,0,0,6,22,239,1,158,161,81,12.6797710803616
1,MIA,30,30,0,191,191,3,0,4,7,20,191,0,59,251,132,-7.20854284445045
1,MIN,25,25,2,259,259,1,0,2,5,19,259,2,72,267,187,10.3023136351897
1,NOR,30,30,2,198,198,0,0,1,11,19,198,2,116,166,82,2.45183508960927
1,NWE,19,19,0,155,155,0,0,1,4,15,155,0,88,101,67,0.974621590226889
1,NYG,39,39,2,279,279,2,0,5,11,26,279,2,116,243,163,4.92309485522347
1,NYJ,33,33,1,215,215,1,0,2,11,21,215,1,139,257,76,-4.91879907692783
1,PHI,42,42,2,270,270,2,0,5,16,24,270,2,113,520,157,-0.800410522060702
1,PIT,31,31,3,229,229,0,0,3,10,21,229,3,105,208,124,18.6728681196739
1,SEA,35,35,4,322,322,0,0,6,4,31,322,4,160,205,162,24.3290171913201
1,SFO,32,32,2,259,259,0,0,3,13,19,259,2,161,225,98,5.35948256277825
1,TAM,34,34,3,239,239,2,0,3,9,23,239,2,90,292,149,-3.47767846187344
1,TEN,40,40,2,249,249,0,0,5,11,29,249,2,96,228,153,12.5127743193315
1,WAS,30,30,1,178,178,0,0,5,13,17,178,1,95,248,83,2.08272804834601
2,ARI,34,34,1,286,286,1,0,0,7,26,286,1,120,319,166,11.2512226267484
2,ATL,36,36,4,273,273,0,0,3,12,24,273,4,105,369,168,14.9039892861758
2,BAL,23,23,1,204,204,0,0,1,5,18,204,1,103,166,101,12.6091343077643
2,BUF,35,35,4,415,415,0,0,2,11,24,415,4,154,362,261,24.4569504762509
2,CAR,40,40,0,367,367,2,0,2,5,33,367,0,149,293,218,4.45669069237015
2,CHI,28,28,2,190,190,2,0,1,8,18,190,2,71,239,119,5.60985282324645
2,CIN,59,59,3,316,316,0,0,4,22,37,316,3,127,467,189,19.6777443942847
2,CLE,21,21,2,219,219,1,0,0,4,16,219,2,73,204,146,13.9006392760493
2,DAL,47,47,1,450,450,0,0,4,13,34,450,1,205,380,245,13.8723080606433
2,DEN,38,38,2,276,276,1,0,11,18,19,276,2,61,512,215,4.47299371750779
2,DET,30,30,3,244,244,1,0,1,9,20,244,2,138,258,106,0.810603668476688
2,GNB,30,30,2,240,240,0,0,2,12,18,240,2,100,277,140,16.8738483316912
2,HOU,34,34,2,275,275,1,0,7,8,25,275,1,112,272,163,-0.831972183442246
2,IND,25,25,1,214,214,1,0,1,5,19,214,1,108,219,106,5.66762030765369
2,JAC,44,44,3,339,339,2,0,3,12,30,339,3,96,376,243,15.7301781919594
2,KAN,45,45,2,302,302,0,0,7,18,27,302,2,116,333,186,5.83994689618437
2,LAC,30,30,1,311,311,1,0,4,7,22,311,1,185,274,126,8.60450002265861
2,LAR,26,26,3,267,267,0,0,2,6,20,267,3,109,226,158,23.9991544647261
2,LVR,34,34,3,284,284,0,0,1,6,28,284,3,147,239,137,21.7107288567349
2,MIA,46,46,2,328,328,0,0,7,15,31,328,2,121,313,207,10.6446123409254
2,MIN,23,23,0,113,113,2,0,3,10,11,113,0,19,264,94,-7.0164287117077
2,NOR,37,37,1,312,312,1,0,6,10,26,312,1,213,188,99,4.43773691492596
2,NWE,43,43,1,397,397,1,0,3,12,30,397,1,126,345,271,22.7933826452452
2,NYG,36,36,0,241,241,1,0,1,10,25,241,0,80,243,161,2.14682928346977
2,NYJ,32,32,1,179,179,0,0,5,11,21,179,1,99,144,80,-1.5490925664351
